Row,Analysis,Date,Identifier 1,Identifier 2,Comment,Amount,Gasconfiguration,Peak Nr,Is Ref _,Rt,Width,BGD 28,Ampl  28,rArea 28,Area 28,BGD 29,Ampl  29,rArea 29,Area 29,rR 29N2/28N2,R 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,R 15N/14N,d 15N/14N,BGD 44,Ampl  44,rArea 44,Area 44,BGD 45,Ampl  45,rArea 45,Area 45,BGD 46,Ampl  46,Area 46,rArea 46,rR 45CO2/44CO2,R 45CO2/44CO2,rd 45CO2/44CO2,d 45CO2/44CO2,rR 46CO2/44CO2,R 46CO2/44CO2,rd 46CO2/44CO2,d 46CO2/44CO2,R 13C/12C,d 13C/12C,R 18O/16O,d 18O/16O
39,41312,11/12/22,SI_257,D,3,0.466,N2,1,1,47.7,27,13.2,3268,60162,60.162,8.9,2152,39639,0.436,0.6588784,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
39,41312,11/12/22,SI_257,D,3,0.466,N2,2,0,216.1,76.5,13.8,1246,27214,27.214,9.2,833,18177,0.2,0.6679485,0.0074577,13.766,13.766,0.0037288,13.766,,,,,,,,,,,,,,,,,,,,,,,,
39,41312,11/12/22,SI_257,D,3,0.466,CO2,3,0,365.3,98.2,,,,,,,,,,,,,,,1.0,5449,131751,131.751,0.5,5792,139576,1.535,2.6,7813,0.568,189191,1.0593909,0.0119614,-1.959,-1.959,1.4359685,0.0040222,0.653,0.653,0.0111564,-2.125,0.0020065,0.658
39,41312,11/12/22,SI_257,D,3,0.466,CO2,4,1,525.4,40.8,,,,,,,,,,,,,,,3.0,5210,96685,96.685,2.5,5527,102628,1.129,5.5,7474,0.416,138746,1.0614704,0.0119849,0,0,1.4350322,0.0040196,0,0,0.0111802,0,0.0020052,0
40,41313,11/12/22,SI_258,D,4,0.469,N2,1,1,47.7,27,13.3,3266,60213,60.213,9.0,2152,39674,0.436,0.6588974,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
40,41313,11/12/22,SI_258,D,4,0.469,N2,2,0,216.3,76.7,13.9,1312,28632,28.632,9.2,877,19125,0.21,0.6679364,0.0074573,13.718,13.718,0.0037287,13.718,,,,,,,,,,,,,,,,,,,,,,,,
40,41313,11/12/22,SI_258,D,4,0.469,CO2,3,0,365.1,97.8,,,,,,,,,,,,,,,1.1,5708,138019,138.019,0.5,6064,146102,1.607,2.7,8186,0.595,198190,1.0585664,0.0119522,-2.723,-2.723,1.4359659,0.0040221,0.642,0.642,0.0111473,-2.943,0.0020065,0.649
40,41313,11/12/22,SI_258,D,4,0.469,CO2,4,1,525.6,40.5,,,,,,,,,,,,,,,2.6,5211,96635,96.635,2.1,5531,102574,1.128,4.9,7479,0.416,138675,1.0614567,0.0119849,0,0,1.4350454,0.0040196,0,0,0.0111802,0,0.0020052,0
41,41314,11/12/22,SI_259,D,5,0.444,N2,1,1,47.7,27,13.3,3267,60192,60.192,9.0,2152,39660,0.436,0.6588949,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
41,41314,11/12/22,SI_259,D,5,0.444,N2,2,0,216.1,75.2,13.9,1132,24743,24.743,9.3,756,16519,0.182,0.6675963,0.0074535,13.206,13.206,0.0037268,13.206,,,,,,,,,,,,,,,,,,,,,,,,
41,41314,11/12/22,SI_259,D,5,0.444,CO2,3,0,365.8,95.1,,,,,,,,,,,,,,,1.1,5003,120872,120.872,0.5,5316,128041,1.408,2.7,7176,0.521,173583,1.0593103,0.0119606,-2.02,-2.02,1.4360911,0.0040225,0.737,0.737,0.0111557,-2.193,0.0020067,0.742
41,41314,11/12/22,SI_259,D,5,0.444,CO2,4,1,525.6,40.8,,,,,,,,,,,,,,,2.3,5211,96604,96.604,1.8,5530,102541,1.128,4.5,7477,0.416,138630,1.0614544,0.0119849,0,0,1.435034,0.0040196,0,0,0.0111802,0,0.0020052,0
42,41315,11/12/22,SAL_Std_04,D,6,0.536,N2,1,1,47.7,27,13.2,3265,60156,60.156,9.0,2152,39665,0.436,0.6593583,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
42,41315,11/12/22,SAL_Std_04,D,6,0.536,N2,2,0,216.1,78,13.9,1377,29997,29.997,9.3,919,20009,0.22,0.6670244,0.0074419,11.627,11.627,0.003721,11.627,,,,,,,,,,,,,,,,,,,,,,,,
42,41315,11/12/22,SAL_Std_04,D,6,0.536,CO2,3,0,363.9,100.9,,,,,,,,,,,,,,,1.1,7000,170087,170.087,0.5,7396,178898,1.968,2.7,10035,0.733,244190,1.0518045,0.0118761,-9.074,-9.074,1.4356811,0.0040215,0.48,0.48,0.0110712,-9.746,0.0020062,0.503
42,41315,11/12/22,SAL_Std_04,D,6,0.536,CO2,4,1,525.4,40.8,,,,,,,,,,,,,,,3.2,5210,96704,96.704,2.8,5527,102645,1.129,5.8,7473,0.416,138769,1.0614363,0.0119849,0,0,1.4349919,0.0040196,0,0,0.0111802,0,0.0020052,0
43,41316,11/12/22,GA1_Std_04,D,7,0.559,N2,1,1,47.4,26.8,13.3,3264,60177,60.177,9.1,2151,39651,0.436,0.6589079,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
43,41316,11/12/22,GA1_Std_04,D,7,0.559,N2,2,0,216.1,75.7,14.0,1087,23732,23.732,9.3,714,15571,0.171,0.6561409,0.0073255,-4.199,-4.199,0.0036628,-4.199,,,,,,,,,,,,,,,,,,,,,,,,
43,41316,11/12/22,GA1_Std_04,D,7,0.559,CO2,3,0,364.3,98.4,,,,,,,,,,,,,,,1.2,6325,153309,153.309,0.6,6637,160198,1.762,2.8,9068,0.66,220107,1.0449351,0.0117982,-15.576,-15.576,1.4357091,0.0040217,0.527,0.527,0.0109933,-16.718,0.0020063,0.565
43,41316,11/12/22,GA1_Std_04,D,7,0.559,CO2,4,1,525.4,41.2,,,,,,,,,,,,,,,2.5,5212,96789,96.789,2.0,5530,102738,1.13,4.8,7476,0.417,138888,1.0614684,0.0119849,0,0,1.4349533,0.0040196,0,0,0.0111802,0,0.0020052,0
44,41317,11/12/22,GA2_Std_04,D,8,0.573,N2,1,1,47.4,27,13.3,3265,60107,60.107,9.0,2151,39604,0.436,0.6589005,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
44,41317,11/12/22,GA2_Std_04,D,8,0.573,N2,2,0,216.1,76.1,13.9,1112,24283,24.283,9.3,730,15916,0.175,0.6554266,0.0073176,-5.272,-5.272,0.0036588,-5.272,,,,,,,,,,,,,,,,,,,,,,,,
44,41317,11/12/22,GA2_Std_04,D,8,0.573,CO2,3,0,364.3,98.4,,,,,,,,,,,,,,,1.1,6470,156778,156.778,0.5,6882,166070,1.827,2.7,9277,0.675,225098,1.0592652,0.0119605,-2.034,-2.034,1.4357756,0.0040218,0.568,0.568,0.0111556,-2.202,0.0020064,0.574
44,41317,11/12/22,GA2_Std_04,D,8,0.573,CO2,4,1,525.4,40.8,,,,,,,,,,,,,,,2.5,5211,96608,96.608,2.0,5528,102542,1.128,4.8,7474,0.416,138629,1.0614246,0.0119849,0,0,1.4349606,0.0040196,0,0,0.0111802,0,0.0020052,0
45,41318,11/12/22,GA2_QTY_0.14,D,9,0.162,N2,1,1,47.7,27,13.3,3266,60313,60.313,9.0,2151,39741,0.437,0.6589079,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
45,41318,11/12/22,GA2_QTY_0.14,D,9,0.162,N2,2,0,216.5,68.6,13.9,301,6719,6.719,9.3,197,4402,0.048,0.6551911,0.0073149,-5.641,-5.641,0.0036575,-5.641,,,,,,,,,,,,,,,,,,,,,,,,
45,41318,11/12/22,GA2_QTY_0.14,D,9,0.162,CO2,3,0,368.9,86.7,,,,,,,,,,,,,,,1.1,1888,45368,45.368,0.5,2002,48046,0.529,2.7,2708,0.195,65163,1.0590239,0.0119565,-2.367,-2.367,1.4363378,0.0040231,0.892,0.892,0.0111515,-2.571,0.002007,0.898
45,41318,11/12/22,GA2_QTY_0.14,D,9,0.162,CO2,4,1,525.4,40.3,,,,,,,,,,,,,,,1.6,5211,96668,96.668,1.1,5529,102617,1.129,3.5,7476,0.416,138725,1.061537,0.0119849,0,0,1.4350581,0.0040196,0,0,0.0111802,0,0.0020052,0
46,41319,11/12/22,GA2_QTY_0.56,D,10,0.538,N2,1,1,47.4,26.8,13.1,3265,60117,60.117,8.8,2151,39612,0.436,0.6589144,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
46,41319,11/12/22,GA2_QTY_0.56,D,10,0.538,N2,2,0,216.3,75.7,13.8,1037,22632,22.632,9.2,680,14833,0.163,0.6553939,0.0073171,-5.343,-5.343,0.0036585,-5.343,,,,,,,,,,,,,,,,,,,,,,,,
46,41319,11/12/22,GA2_QTY_0.56,D,10,0.538,CO2,3,0,364.7,97.4,,,,,,,,,,,,,,,1.0,6078,146942,146.942,0.4,6464,155653,1.712,2.6,8715,0.633,211010,1.0592793,0.0119603,-2.046,-2.046,1.4360117,0.0040224,0.713,0.713,0.0111554,-2.22,0.0020066,0.719
46,41319,11/12/22,GA2_QTY_0.56,D,10,0.538,CO2,4,1,525.4,40.8,,,,,,,,,,,,,,,2.4,5213,96593,96.593,1.9,5530,102528,1.128,4.7,7477,0.416,138609,1.0614515,0.0119849,0,0,1.4349887,0.0040196,0,0,0.0111802,0,0.0020052,0
47,41320,11/12/22,GA2_QTY_0.70,D,11,0.733,N2,1,1,47.7,27,13.3,3265,60186,60.186,9.0,2151,39656,0.436,0.6588927,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
47,41320,11/12/22,GA2_QTY_0.70,D,11,0.733,N2,2,0,216.1,77.7,13.9,1431,31061,31.061,9.2,939,20359,0.224,0.6554591,0.0073181,-5.211,-5.211,0.003659,-5.211,,,,,,,,,,,,,,,,,,,,,,,,
47,41320,11/12/22,GA2_QTY_0.70,D,11,0.733,CO2,3,0,362.8,99.9,,,,,,,,,,,,,,,1.1,8211,199871,199.871,0.5,8746,211712,2.329,2.7,11773,0.861,286943,1.0592441,0.0119606,-2.026,-2.026,1.4356386,0.0040216,0.498,0.498,0.0111557,-2.19,0.0020062,0.504
47,41320,11/12/22,GA2_QTY_0.70,D,11,0.733,CO2,4,1,525.4,41.2,,,,,,,,,,,,,,,2.8,5210,96647,96.647,2.3,5527,102580,1.128,5.2,7473,0.416,138681,1.0613944,0.0119849,0,0,1.4349234,0.0040196,0,0,0.0111802,0,0.0020052,0
48,41321,11/12/22,Blank,D,12,0,N2,1,1,47.4,27,13.3,3263,60106,60.106,9.1,2150,39604,0.436,0.6589094,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
48,41321,11/12/22,Blank,D,12,0,CO2,2,0,371,60.8,,,,,,,,,,,,,,,1.2,75,1812,1.812,0.6,79,1899,0.021,2.8,108,0.008,2610,1.0476602,0.0118271,-13.165,-13.165,1.4399279,0.0040331,3.359,3.359,0.011021,-14.239,0.002012,3.395
48,41321,11/12/22,Blank,D,12,0,CO2,3,1,525.4,40.5,,,,,,,,,,,,,,,1.1,5210,96573,96.573,0.5,5529,102525,1.128,2.6,7476,0.416,138592,1.0616367,0.0119849,0,0,1.4351073,0.0040196,0,0,0.0111802,0,0.0020052,0
49,41322,11/12/22,BlankBlank,E,1,0,N2,1,1,47.7,27,12.9,3266,60171,60.171,8.7,2152,39648,0.436,0.6589144,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
49,41322,11/12/22,BlankBlank,E,1,0,CO2,2,1,525.4,40.3,,,,,,,,,,,,,,,0.9,5211,96588,96.588,0.3,5529,102547,1.128,2.3,7477,0.416,138623,1.0616943,0.0119849,0,0,1.4351954,0.0040196,0,0,0.0111802,0,0.0020052,0
