Row,Analysis,Identifier 1,Identifier 2,Comment,Amount,Gasconfiguration,Peak Nr,Is Ref _,Rt,Width,BGD 28,Ampl  28,rArea 28,Area 28,BGD 29,Ampl  29,rArea 29,Area 29,rR 29N2/28N2,R 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,R 15N/14N,d 15N/14N,BGD 44,Ampl  44,rArea 44,Area 44,BGD 45,Ampl  45,rArea 45,Area 45,BGD 46,Ampl  46,Area 46,rArea 46,rR 45CO2/44CO2,R 45CO2/44CO2,rd 45CO2/44CO2,d 45CO2/44CO2,rR 46CO2/44CO2,R 46CO2/44CO2,rd 46CO2/44CO2,d 46CO2/44CO2,R 13C/12C,d 13C/12C,R 18O/16O,d 18O/16O
29,37063,SS_78,H,2,0.462,CO2,3,0,374.7,112.4,,,,,,,,,,,,,,,0.1,5067,145003,145.003,-0.2,5378,153494,1.688,1.2,7230,0.621,207056,1.0585517,0.0119734,-0.957,-0.957,1.4279371,0.0039925,-6.744,-6.744,0.0111715,-0.775,0.0019917,-6.749
29,37063,SS_78,H,2,0.462,CO2,4,1,525.4,41.2,,,,,,,,,,,,,,,1.7,5333,99049,99.049,1.6,5649,104949,1.154,3.5,7666,0.427,142396,1.0595657,0.0119849,0,0,1.4376319,0.0040196,0,0,0.0111802,0,0.0020052,0
30,37064,GA1_Std_03,H,3,0.536,N2,1,1,47.4,27.2,12.3,3801,70074,70.074,8.3,2505,46197,0.508,0.6592549,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
30,37064,GA1_Std_03,H,3,0.536,N2,2,0,216.5,89.5,12.7,890,23504,23.504,8.5,585,15432,0.17,0.6565507,0.0073262,-4.102,-4.102,0.0036631,-4.102,,,,,,,,,,,,,,,,,,,,,,,,
30,37064,GA1_Std_03,H,3,0.536,CO2,3,0,374.5,112,,,,,,,,,,,,,,,0.1,5163,147217,147.217,-0.1,5398,153521,1.689,1.2,7363,0.631,210181,1.0428237,0.0117946,-15.877,-15.877,1.427694,0.0039918,-6.906,-6.906,0.0109928,-16.764,0.0019914,-6.876
30,37064,GA1_Std_03,H,3,0.536,CO2,4,1,525.4,41.2,,,,,,,,,,,,,,,1.7,5335,99031,99.031,1.6,5652,104938,1.154,3.6,7668,0.427,142370,1.0596473,0.0119849,0,0,1.4376221,0.0040196,0,0,0.0111802,0,0.0020052,0
31,37065,GA2_Std_03,H,4,0.581,N2,1,1,47.4,27.2,12.4,3808,70184,70.184,8.3,2508,46230,0.509,0.6586952,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
31,37065,GA2_Std_03,H,4,0.581,N2,2,0,216.3,90.9,12.8,963,25746,25.746,8.5,632,16872,0.186,0.6553328,0.0073188,-5.105,-5.105,0.0036594,-5.105,,,,,,,,,,,,,,,,,,,,,,,,
31,37065,GA2_Std_03,H,4,0.581,CO2,3,0,373.9,115.2,,,,,,,,,,,,,,,0.1,5593,161176,161.176,-0.1,5929,170398,1.874,1.2,7971,0.69,229917,1.0572192,0.0119581,-2.229,-2.229,1.4265003,0.0039885,-7.718,-7.718,0.0111567,-2.102,0.0019897,-7.722
31,37065,GA2_Std_03,H,4,0.581,CO2,4,1,525.4,41,,,,,,,,,,,,,,,2.0,5338,99015,99.015,1.9,5655,104914,1.154,3.9,7674,0.427,142343,1.0595805,0.0119849,0,0,1.437596,0.0040196,0,0,0.0111802,0,0.0020052,0
32,37066,SAL_Std_03,H,5,0.433,N2,1,1,47.4,27.2,12.4,3806,70169,70.169,8.4,2506,46220,0.508,0.6586905,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
32,37066,SAL_Std_03,H,5,0.433,N2,2,0,216.1,90.5,12.8,968,25896,25.896,8.5,646,17260,0.19,0.6664987,0.0074436,11.854,11.854,0.0037218,11.854,,,,,,,,,,,,,,,,,,,,,,,,
32,37066,SAL_Std_03,H,5,0.433,CO2,3,0,374.3,113.5,,,,,,,,,,,,,,,0.1,4912,141425,141.425,-0.1,5169,148454,1.633,1.3,7002,0.605,201766,1.049702,0.011873,-9.337,-9.337,1.4266645,0.0039891,-7.586,-7.586,0.0110715,-9.727,0.00199,-7.573
32,37066,SAL_Std_03,H,5,0.433,CO2,4,1,525.4,41,,,,,,,,,,,,,,,1.7,5335,99041,99.041,1.6,5652,104943,1.154,3.6,7668,0.427,142378,1.0595949,0.0119849,0,0,1.43757,0.0040196,0,0,0.0111802,0,0.0020052,0
33,37067,SS_79,H,6,0.415,N2,1,1,47.4,27.2,12.4,3811,70327,70.327,8.3,2510,46327,0.51,0.6587401,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
