Row,Analysis,Date,Identifier 1,Identifier 2,Comment,Amount,Gasconfiguration,Peak Nr,Is Ref _,Rt,Width,BGD 28,Ampl  28,rArea 28,Area 28,BGD 29,Ampl  29,rArea 29,Area 29,rR 29N2/28N2,R 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,R 15N/14N,d 15N/14N,BGD 44,Ampl  44,rArea 44,Area 44,BGD 45,Ampl  45,rArea 45,Area 45,BGD 46,Ampl  46,Area 46,rArea 46,rR 45CO2/44CO2,R 45CO2/44CO2,rd 45CO2/44CO2,d 45CO2/44CO2,rR 46CO2/44CO2,R 46CO2/44CO2,rd 46CO2/44CO2,d 46CO2/44CO2,R 13C/12C,d 13C/12C,R 18O/16O,d 18O/16O
29,42210,12/8/22,SI_732,C,5,0.456,CO2,4,1,525.4,42.4,,,,,,,,,,,,,,,5.3,5194,96232,96.232,5,5513,102190,1.124,8.9,7446,0.414,138004,1.061909,0.0119849,0,0,1.4340769,0.0040196,0,0,0.0111802,0,0.0020052,0
30,42211,12/8/22,GA1_Std_03,C,6,0.534,N2,1,1,47.4,27,16.5,3248,59822,59.822,11.4,2139,39410,0.434,0.6587899,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
30,42211,12/8/22,GA1_Std_03,C,6,0.534,N2,2,0,215.9,72.7,16.7,1045,22478,22.478,11.4,686,14747,0.162,0.6560742,0.0073261,-4.122,-4.122,0.003663,-4.122,,,,,,,,,,,,,,,,,,,,,,,,
30,42211,12/8/22,GA1_Std_03,C,6,0.534,CO2,3,0,367,98.4,,,,,,,,,,,,,,,1.7,6054,146070,146.07,1.1,6351,152675,1.679,3.5,8735,0.633,211079,1.0452154,0.0117968,-15.689,-15.689,1.4450514,0.0040502,7.616,7.616,0.010989,-17.102,0.0020206,7.663
30,42211,12/8/22,GA1_Std_03,C,6,0.534,CO2,4,1,525.4,41.6,,,,,,,,,,,,,,,4.1,5195,96234,96.234,3.7,5515,102189,1.124,7.1,7449,0.414,138012,1.0618751,0.0119849,0,0,1.4341284,0.0040196,0,0,0.0111802,0,0.0020052,0
31,42212,12/8/22,GA2_Std_03,C,7,0.556,N2,1,1,47.4,27,16.3,3247,59840,59.84,11.2,2139,39422,0.434,0.658785,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
31,42212,12/8/22,GA2_Std_03,C,7,0.556,N2,2,0,215.7,73.8,16.6,1102,23767,23.767,11.2,723,15576,0.171,0.6553848,0.0073184,-5.161,-5.161,0.0036592,-5.161,,,,,,,,,,,,,,,,,,,,,,,,
31,42212,12/8/22,GA2_Std_03,C,7,0.556,CO2,3,0,366.6,102.4,,,,,,,,,,,,,,,1.5,6410,155390,155.39,1,6817,164583,1.81,3.2,9250,0.674,224523,1.0591625,0.0119547,-2.515,-2.515,1.4449004,0.0040497,7.511,7.511,0.0111469,-2.974,0.0020203,7.526
31,42212,12/8/22,GA2_Std_03,C,7,0.556,CO2,4,1,525.4,42.6,,,,,,,,,,,,,,,5.1,5195,96236,96.236,4.8,5513,102186,1.124,8.6,7447,0.414,138015,1.0618325,0.0119849,0,0,1.4341289,0.0040196,0,0,0.0111802,0,0.0020052,0
32,42213,12/8/22,SAL_Std_03,C,8,0.547,N2,1,1,47.4,27,16.4,3247,59821,59.821,11.3,2139,39411,0.434,0.6588192,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
32,42213,12/8/22,SAL_Std_03,C,8,0.547,N2,2,0,215.7,76.9,16.7,1412,30486,30.486,11.4,941,20319,0.224,0.6665089,0.0074423,11.672,11.672,0.0037211,11.672,,,,,,,,,,,,,,,,,,,,,,,,
32,42213,12/8/22,SAL_Std_03,C,8,0.547,CO2,3,0,365.8,115.4,,,,,,,,,,,,,,,1.7,7153,174811,174.811,1.1,7558,183871,2.023,3.6,10318,0.757,252460,1.0518292,0.0118726,-9.369,-9.369,1.4441897,0.0040476,6.981,6.981,0.011065,-10.303,0.0020193,7.011
32,42213,12/8/22,SAL_Std_03,C,8,0.547,CO2,4,1,525.4,42.6,,,,,,,,,,,,,,,6.8,5192,96165,96.165,6.6,5510,102106,1.123,11,7443,0.414,137918,1.061777,0.0119849,0,0,1.4341783,0.0040196,0,0,0.0111802,0,0.0020052,0
33,42214,12/8/22,SI_733,C,9,0.429,N2,1,1,47.4,27,17.1,3245,59835,59.835,12,2137,39420,0.434,0.6588046,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
33,42214,12/8/22,SI_733,C,9,0.429,N2,2,0,215.9,75.4,17.2,1208,26160,26.16,11.9,808,17481,0.192,0.6682337,0.0074617,14.313,14.313,0.0037308,14.313,,,,,,,,,,,,,,,,,,,,,,,,
33,42214,12/8/22,SI_733,C,9,0.429,CO2,3,0,367.6,101.8,,,,,,,,,,,,,,,2.5,5424,131603,131.603,2,5763,139382,1.533,4.7,7827,0.571,190208,1.059114,0.0119549,-2.501,-2.501,1.4453206,0.0040504,7.684,7.684,0.011147,-2.966,0.0020206,7.699
33,42214,12/8/22,SI_733,C,9,0.429,CO2,4,1,525.4,42.6,,,,,,,,,,,,,,,7.9,5191,96196,96.196,7.7,5509,102138,1.124,12.6,7443,0.414,137973,1.0617693,0.0119849,0,0,1.4342997,0.0040196,0,0,0.0111802,0,0.0020052,0
34,42215,12/8/22,SI_734,C,10,0.43,N2,1,1,47.4,26.8,17.1,3243,59811,59.811,12,2136,39402,0.433,0.6587868,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
34,42215,12/8/22,SI_734,C,10,0.43,N2,2,0,215.7,75.7,17.1,1115,24335,24.335,11.7,746,16271,0.179,0.668613,0.0074661,14.916,14.916,0.0037331,14.916,,,,,,,,,,,,,,,,,,,,,,,,
34,42215,12/8/22,SI_734,C,10,0.43,CO2,3,0,367.2,112.4,,,,,,,,,,,,,,,1.9,5512,135071,135.071,1.4,5860,143098,1.574,3.9,7956,0.586,195240,1.0594222,0.0119588,-2.175,-2.175,1.4454605,0.0040508,7.781,7.781,0.0111509,-2.621,0.0020208,7.795
34,42215,12/8/22,SI_734,C,10,0.43,CO2,4,1,525.4,42.4,,,,,,,,,,,,,,,9.1,5190,96208,96.208,9.1,5508,102147,1.124,14.4,7441,0.414,137991,1.0617317,0.0119849,0,0,1.4343002,0.0040196,0,0,0.0111802,0,0.0020052,0
35,42216,12/8/22,SI_735,C,11,0.484,N2,1,1,47.4,27,17.3,3246,59778,59.778,12.2,2137,39381,0.433,0.6587862,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
35,42216,12/8/22,SI_735,C,11,0.484,N2,2,0,215.7,75.4,17.2,1330,28716,28.716,11.9,889,19181,0.211,0.6679541,0.0074588,13.916,13.916,0.0037294,13.916,,,,,,,,,,,,,,,,,,,,,,,,
35,42216,12/8/22,SI_735,C,11,0.484,CO2,3,0,367,103,,,,,,,,,,,,,,,2.2,5836,141668,141.668,1.7,6208,150167,1.652,4.3,8422,0.614,204734,1.0599885,0.0119654,-1.62,-1.62,1.4451651,0.0040498,7.532,7.532,0.0111577,-2.017,0.0020203,7.545
35,42216,12/8/22,SI_735,C,11,0.484,CO2,4,1,525.4,42.6,,,,,,,,,,,,,,,7.1,5189,96155,96.155,6.9,5507,102089,1.123,11.5,7440,0.414,137922,1.0617087,0.0119849,0,0,1.4343615,0.0040196,0,0,0.0111802,0,0.0020052,0
36,42217,12/8/22,SI_736,C,12,0.5,N2,1,1,47.4,27,17.2,3245,59771,59.771,12.1,2137,39380,0.433,0.6588359,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
36,42217,12/8/22,SI_736,C,12,0.5,N2,2,0,215.7,75.4,17.3,1402,30330,30.33,11.9,937,20255,0.223,0.66783,0.0074568,13.652,13.652,0.0037284,13.652,,,,,,,,,,,,,,,,,,,,,,,,
36,42217,12/8/22,SI_736,C,12,0.5,CO2,3,0,367,106.8,,,,,,,,,,,,,,,2.4,5978,145700,145.7,1.9,6354,154307,1.697,4.6,8624,0.632,210542,1.0590751,0.0119551,-2.479,-2.479,1.445037,0.0040494,7.437,7.437,0.0111474,-2.934,0.0020201,7.451
36,42217,12/8/22,SI_736,C,12,0.5,CO2,4,1,525.4,42.6,,,,,,,,,,,,,,,9.2,5190,96100,96.1,9.1,5509,102031,1.122,14.4,7443,0.414,137844,1.0617075,0.0119849,0,0,1.4343702,0.0040196,0,0,0.0111802,0,0.0020052,0
37,42218,12/8/22,Blank,D,1,0,N2,1,1,47.4,27,17,3243,59756,59.756,11.9,2136,39368,0.433,0.6588027,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
37,42218,12/8/22,Blank,D,1,0,CO2,2,1,525.4,41.4,,,,,,,,,,,,,,,1.8,5187,95986,95.986,1.3,5507,101928,1.121,3.7,7440,0.413,137699,1.0619071,0.0119849,0,0,1.4345784,0.0040196,0,0,0.0111802,0,0.0020052,0
38,42219,12/8/22,SI_737,D,2,0.413,N2,1,1,47.4,27,15.9,3246,59816,59.816,10.8,2137,39407,0.433,0.6587996,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
38,42219,12/8/22,SI_737,D,2,0.413,N2,2,0,215.5,74.8,16.4,1065,23171,23.171,11,711,15476,0.17,0.6679135,0.0074582,13.834,13.834,0.0037291,13.834,,,,,,,,,,,,,,,,,,,,,,,,
38,42219,12/8/22,SI_737,D,2,0.413,CO2,3,0,368.3,106.2,,,,,,,,,,,,,,,1.5,4561,111081,111.081,1,4849,117776,1.296,3.2,6585,0.482,160642,1.0602714,0.0119685,-1.36,-1.36,1.4461753,0.0040523,8.138,8.138,0.0111605,-1.76,0.0020215,8.151
38,42219,12/8/22,SI_737,D,2,0.413,CO2,4,1,525.4,42.6,,,,,,,,,,,,,,,6.6,5189,96123,96.123,6.4,5507,102055,1.123,10.8,7442,0.414,137888,1.0617158,0.0119849,0,0,1.4345016,0.0040196,0,0,0.0111802,0,0.0020052,0
39,42220,12/8/22,SI_738,D,3,0.452,N2,1,1,47.4,27,17,3245,59806,59.806,11.8,2137,39399,0.433,0.6587811,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
39,42220,12/8/22,SI_738,D,3,0.452,N2,2,0,215.5,74,17.1,1285,27674,27.674,11.7,860,18500,0.203,0.6684829,0.0074647,14.727,14.727,0.0037324,14.727,,,,,,,,,,,,,,,,,,,,,,,,
39,42220,12/8/22,SI_738,D,3,0.452,CO2,3,0,367,101.2,,,,,,,,,,,,,,,2.3,5844,141371,141.371,1.8,6215,149840,1.648,4.4,8436,0.613,204395,1.0599088,0.011965,-1.654,-1.654,1.4458047,0.0040513,7.908,7.908,0.0111571,-2.067,0.0020211,7.921
39,42220,12/8/22,SI_738,D,3,0.452,CO2,4,1,525.4,42.4,,,,,,,,,,,,,,,5.9,5189,96128,96.128,5.7,5507,102055,1.123,9.8,7440,0.414,137892,1.0616649,0.0119849,0,0,1.4344613,0.0040196,0,0,0.0111802,0,0.0020052,0
40,42222,12/8/22,SI_739,D,4,0.491,N2,1,1,47.4,26.8,15.7,3246,59810,59.81,10.7,2139,39404,0.433,0.6588135,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
40,42222,12/8/22,SI_739,D,4,0.491,N2,2,0,215.5,74.6,16.3,1308,28211,28.211,10.9,874,18840,0.207,0.667826,0.007457,13.68,13.68,0.0037285,13.68,,,,,,,,,,,,,,,,,,,,,,,,
40,42222,12/8/22,SI_739,D,4,0.491,CO2,3,0,367.2,102.2,,,,,,,,,,,,,,,1.2,5642,136726,136.726,0.7,5992,144697,1.592,2.9,8145,0.593,197677,1.0582993,0.0119466,-3.194,-3.194,1.4457894,0.0040513,7.889,7.889,0.0111386,-3.717,0.0020211,7.906
40,42222,12/8/22,SI_739,D,4,0.491,CO2,4,1,525.4,42.6,,,,,,,,,,,,,,,6.4,5191,96201,96.201,6.2,5508,102136,1.123,10.5,7444,0.414,137998,1.0616903,0.0119849,0,0,1.4344734,0.0040196,0,0,0.0111802,0,0.0020052,0
41,42223,12/8/22,SI_740,D,5,0.457,N2,1,1,47.4,27,16.8,3245,59828,59.828,11.7,2137,39414,0.434,0.6587874,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
41,42223,12/8/22,SI_740,D,5,0.457,N2,2,0,215.7,74.6,17,1392,29897,29.897,11.6,931,19977,0.22,0.6682002,0.0074615,14.288,14.288,0.0037308,14.288,,,,,,,,,,,,,,,,,,,,,,,,
41,42223,12/8/22,SI_740,D,5,0.457,CO2,3,0,366.8,100.9,,,,,,,,,,,,,,,2.1,6286,152000,152,1.6,6687,161075,1.772,4.2,9073,0.659,219694,1.0597029,0.0119629,-1.834,-1.834,1.4453548,0.0040499,7.558,7.558,0.0111551,-2.246,0.0020204,7.571
41,42223,12/8/22,SI_740,D,5,0.457,CO2,4,1,525.4,42.2,,,,,,,,,,,,,,,5.2,5188,96141,96.141,4.9,5507,102068,1.123,8.8,7441,0.414,137916,1.0616496,0.0119849,0,0,1.4345134,0.0040196,0,0,0.0111802,0,0.0020052,0
