Row,Analysis,Identifier 1,Identifier 2,Comment,Amount,Gasconfiguration,Peak Nr,Is Ref _,Rt,Width,BGD 28,Ampl  28,rArea 28,Area 28,BGD 29,Ampl  29,rArea 29,Area 29,rR 29N2/28N2,R 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,R 15N/14N,d 15N/14N,BGD 44,Ampl  44,rArea 44,Area 44,BGD 45,Ampl  45,rArea 45,Area 45,BGD 46,Ampl  46,Area 46,rArea 46,rR 45CO2/44CO2,R 45CO2/44CO2,rd 45CO2/44CO2,d 45CO2/44CO2,rR 46CO2/44CO2,R 46CO2/44CO2,rd 46CO2/44CO2,d 46CO2/44CO2,R 13C/12C,d 13C/12C,R 18O/16O,d 18O/16O
3,40682,GA1_QTY_0.14,A,3,0.152,CO2,4,1,525.4,40.5,,,,,,,,,,,,,,,1.6,5254,98180,98.18,1.0,5577,104267,1.147,3.3,7539,0.423,140922,1.0619982,0.0119849,0,0,1.4353409,0.0040196,0,0,0.0111802,0,0.0020052,0
4,40683,GA1_QTY_0.56,A,4,0.561,N2,1,1,47.4,27.2,12.7,3302,60948,60.948,8.2,2174,40137,0.442,0.6585509,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
4,40683,GA1_QTY_0.56,A,4,0.561,N2,2,0,214,84.4,13.4,1081,23606,23.606,8.6,709,15479,0.17,0.6557156,0.0073247,-4.305,-4.305,0.0036624,-4.305,,,,,,,,,,,,,,,,,,,,,,,,
4,40683,GA1_QTY_0.56,A,4,0.561,CO2,3,0,355.9,136.9,,,,,,,,,,,,,,,-0.0,6327,154169,154.169,3.0,6637,160729,1.768,2.5,9159,0.67,223249,1.0425508,0.011767,-18.178,-18.178,1.4480756,0.0040553,8.9,8.9,0.0109586,-19.818,0.0020232,8.954
4,40683,GA1_QTY_0.56,A,4,0.561,CO2,4,1,525.4,41.8,,,,,,,,,,,,,,,3.5,5244,97279,97.279,3.0,5566,103296,1.136,6.1,7524,0.419,139624,1.0618527,0.0119849,0,0,1.4353016,0.0040196,0,0,0.0111802,0,0.0020052,0
5,40684,GA1_QTY_0.70,A,5,0.685,N2,1,1,47.7,27,13.1,3298,60790,60.79,8.5,2171,40024,0.44,0.6583991,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
5,40684,GA1_QTY_0.70,A,5,0.685,N2,2,0,214.2,87.4,13.7,1334,28901,28.901,8.8,875,18946,0.208,0.6555311,0.0073244,-4.356,-4.356,0.0036622,-4.356,,,,,,,,,,,,,,,,,,,,,,,,
5,40684,GA1_QTY_0.70,A,5,0.685,CO2,3,0,354.7,142.1,,,,,,,,,,,,,,,-0.0,7728,188228,188.228,3.7,8112,196197,2.158,3.6,11170,0.816,272102,1.0423345,0.0117661,-18.254,-18.254,1.4455976,0.0040481,7.104,7.104,0.0109585,-19.833,0.0020196,7.156
5,40684,GA1_QTY_0.70,A,5,0.685,CO2,4,1,525.4,41.4,,,,,,,,,,,,,,,4.1,5232,97114,97.114,3.7,5552,103107,1.134,7.1,7507,0.418,139398,1.0617145,0.0119849,0,0,1.4354004,0.0040196,0,0,0.0111802,0,0.0020052,0
6,40685,SAL_Std_01,A,6,0.536,N2,1,1,47.4,27,13.2,3297,60775,60.775,8.6,2170,40008,0.44,0.6582942,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
6,40685,SAL_Std_01,A,6,0.536,N2,2,0,213.8,92,13.9,1344,29430,29.43,9.0,895,19596,0.216,0.6658554,0.0074409,11.486,11.486,0.0037204,11.486,,,,,,,,,,,,,,,,,,,,,,,,
6,40685,SAL_Std_01,A,6,0.536,CO2,3,0,354.7,138.8,,,,,,,,,,,,,,,-0.0,6854,167965,167.965,3.9,7237,176143,1.938,4.5,9907,0.728,242694,1.0486865,0.0118386,-12.206,-12.206,1.4449107,0.0040461,6.609,6.609,0.0110312,-13.331,0.0020185,6.646
6,40685,SAL_Std_01,A,6,0.536,CO2,4,1,525.4,42.2,,,,,,,,,,,,,,,6.7,5234,97181,97.181,6.4,5554,103172,1.135,10.8,7510,0.418,139496,1.061645,0.0119849,0,0,1.4354236,0.0040196,0,0,0.0111802,0,0.0020052,0
7,40686,GA1_Std_01,A,7,0.554,N2,1,1,47.7,27,14.0,3298,60818,60.818,9.3,2171,40032,0.44,0.6582229,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
7,40686,GA1_Std_01,A,7,0.554,N2,2,0,213.8,83.4,14.4,1075,23349,23.349,9.5,705,15300,0.168,0.6552967,0.0073237,-4.446,-4.446,0.0036618,-4.446,,,,,,,,,,,,,,,,,,,,,,,,
7,40686,GA1_Std_01,A,7,0.554,CO2,3,0,354.7,134.4,,,,,,,,,,,,,,,-0.0,6306,152731,152.731,4.4,6611,159004,1.749,11.1,9109,0.66,219840,1.0410738,0.0117534,-19.312,-19.312,1.4393949,0.0040303,2.684,2.684,0.0109476,-20.804,0.0020107,2.733
7,40686,GA1_Std_01,A,7,0.554,CO2,4,1,525.4,41.4,,,,,,,,,,,,,,,4.2,5233,97100,97.1,3.8,5552,103079,1.134,7.2,7509,0.418,139391,1.0615754,0.0119849,0,0,1.4355425,0.0040196,0,0,0.0111802,0,0.0020052,0
8,40687,GA2_Std_01,A,8,0.588,N2,1,1,47.7,27,13.5,3307,60951,60.951,8.8,2175,40112,0.441,0.6581036,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
8,40687,GA2_Std_01,A,8,0.588,N2,2,0,213.4,85.7,14.1,1145,24896,24.896,9.1,750,16295,0.179,0.6545412,0.0073166,-5.413,-5.413,0.0036583,-5.413,,,,,,,,,,,,,,,,,,,,,,,,
8,40687,GA2_Std_01,A,8,0.588,CO2,3,0,353.4,135.8,,,,,,,,,,,,,,,-0.0,6706,162404,162.404,3.7,7129,171521,1.887,10.4,9688,0.702,233899,1.0561382,0.0119237,-5.102,-5.102,1.4402341,0.0040327,3.276,3.276,0.0111177,-5.591,0.0020118,3.292
8,40687,GA2_Std_01,A,8,0.588,CO2,4,1,525.4,42,,,,,,,,,,,,,,,4.1,5244,97323,97.323,3.7,5564,103314,1.136,7.2,7525,0.419,139710,1.0615543,0.0119849,0,0,1.4355312,0.0040196,0,0,0.0111802,0,0.0020052,0
9,40688,SI_212,A,9,0.498,N2,1,1,47.4,27,13.4,3310,60991,60.991,8.8,2181,40185,0.442,0.6588702,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
9,40688,SI_212,A,9,0.498,N2,2,0,214,85.1,14.1,1150,25109,25.109,9.1,766,16721,0.184,0.6659321,0.0074352,10.718,10.718,0.0037176,10.718,,,,,,,,,,,,,,,,,,,,,,,,
9,40688,SI_212,A,9,0.498,CO2,3,0,354.3,130.4,,,,,,,,,,,,,,,-0.0,5548,134258,134.258,4.4,5892,141620,1.558,6.4,8022,0.581,193804,1.0548336,0.0119091,-6.322,-6.322,1.4435216,0.0040417,5.516,5.516,0.0111021,-6.982,0.0020163,5.537
9,40688,SI_212,A,9,0.498,CO2,4,1,525.4,41.4,,,,,,,,,,,,,,,4.0,5253,97586,97.586,3.6,5573,103592,1.14,6.9,7538,0.42,140095,1.0615448,0.0119849,0,0,1.4356035,0.0040196,0,0,0.0111802,0,0.0020052,0
10,40689,SI_213,A,10,0.486,N2,1,1,47.4,27,13.5,3315,61128,61.128,8.9,2181,40231,0.443,0.658141,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
10,40689,SI_213,A,10,0.486,N2,2,0,213.6,84.6,14.1,1022,22582,22.582,9.2,680,15020,0.165,0.6651295,0.0074345,10.619,10.619,0.0037173,10.619,,,,,,,,,,,,,,,,,,,,,,,,
10,40689,SI_213,A,10,0.486,CO2,3,0,354,136.1,,,,,,,,,,,,,,,-0.0,4950,121262,121.262,4.3,5251,127734,1.405,7.4,7158,0.525,174894,1.053369,0.0118923,-7.725,-7.725,1.4422844,0.0040383,4.66,4.66,0.0110857,-8.455,0.0020146,4.684
10,40689,SI_213,A,10,0.486,CO2,4,1,525.4,43.3,,,,,,,,,,,,,,,6.5,5258,97744,97.744,6.2,5580,103762,1.141,10.6,7546,0.421,140321,1.0615695,0.0119849,0,0,1.4355947,0.0040196,0,0,0.0111802,0,0.0020052,0
